"date";"Cod";"Tipo";"Moeda";"Taxa-de-compra";"Taxa-de-venda";"Paridade-compra";"Paridade-venda"
04/01/2019;780;A;LAK;0,00043900;0,00044020;8548,00000000;8570,00000000
04/01/2019;785;A;ZAR;0,26570000;0,26590000;14,15090000;14,16150000
04/01/2019;795;A;CNY;0,54740000;0,54760000;6,87080000;6,87210000
04/01/2019;796;A;CNH;0,54650000;0,54670000;6,88210000;6,88410000
04/01/2019;800;A;QAR;1,03290000;1,03350000;3,64080000;3,64230000
04/01/2019;805;A;OMR;9,76410000;9,78340000;0,38460000;0,38530000
04/01/2019;810;A;YER;0,01504000;0,01506000;249,90000000;250,20000000
04/01/2019;815;A;IRR;0,00008960;0,00008960;42000,00000000;42000,00000000
04/01/2019;820;A;SAR;1,00270000;1,00300000;3,75150000;3,75200000
04/01/2019;825;A;KHR;0,00092730;0,00094700;3973,12000000;4056,88000000
04/01/2019;828;A;MYR;0,90940000;0,91020000;4,13400000;4,13700000
04/01/2019;830;A;RUB;0,05530000;0,05534000;67,99000000;68,02500000
04/01/2019;831;A;BYN;1,72810000;1,73320000;2,17100000;2,17700000
04/01/2019;835;A;TJS;0,39860000;0,39910000;9,42880000;9,43880000
04/01/2019;840;A;MUR;0,10880000;0,10980000;34,27000000;34,57000000
04/01/2019;845;A;NPR;0,03372000;0,03373000;111,55000000;111,57000000
04/01/2019;850;A;SCR;0,27380000;0,27770000;13,55000000;13,74000000
04/01/2019;855;A;LKR;0,02056000;0,02062000;182,50000000;183,00000000
04/01/2019;860;A;INR;0,05377000;0,05381000;69,93100000;69,96400000
04/01/2019;865;A;IDR;0,00026350;0,00026380;14265,00000000;14275,00000000
04/01/2019;870;A;MVR;0,24270000;0,24400000;15,42000000;15,50000000
04/01/2019;875;A;PKR;0,02668000;0,02713000;138,70000000;141,00000000
04/01/2019;880;A;ILS;1,01080000;1,01180000;3,71880000;3,72180000
04/01/2019;892;A;KGS;0,05374000;0,05398000;69,70000000;70,00000000
04/01/2019;893;A;UZS;0,00045100;0,00045160;8331,25000000;8341,25000000
04/01/2019;905;A;BDT;0,04477000;0,04499000;83,63000000;84,04000000
